"category","question","answer"
"General","What film did John Wayne win his only Oscar for?","True Grit"
"General","whose theme song was back in the saddle again","gene autry's"
"General","Who coined the theory that the earth revolves around the sun?","Nicolaus Copernicus"
"General","Miss Buckley is secretary to what commanding officer?","General Halftrack"
"General","This animal is found at the beginning of an (English) encyclopedia","aardvark"
"General","What is the Chess ranking system called ?","Elo"
"General","Where do the souls of unbaptised babies go after death, according to Catholocism?","limbo"
"General","Tarzan had a chimpanzee, what was his name?","Cheetah"
"General","What Hebrew word means 'so be it'?","amen"
"General","Which group sang the song "I Have A Dream"?","Westlife"
"General","Bob Ayling is the Chief Executive of which British company?","British Airways"
"General","What is it that walks on four feet in the morning, two feet at noon, and three feet in the evening ?","Man"
"General","In what country is Mandalay?","Burma"
"General","This girl hid from the Nazis in Amsterdam.","Anne Frank"
"General","This membrane controls the amount of light entering the eye.","The iris"
"General","What is a Blue Moon?","second full moon in 1 month"
"General","He directed "The Godfather".","Francis Ford Coppola"
"General","This organization was founded by William Booth.","The Salvation Army"
"General","What's the name of Superman in everyday life as journalist","Clark Kent"
"General","Basketball: The Seattle ________.","Supersonics"
"General","Where will children as young as 15 be jailed for cheating on their finals?","Bangladesh"
"General","What muscles move the ears?","auricularis"
"General","What publication was subtitled The What's New Magazine?","Popular Science"
"General","How many degrees does the earth rotate each hour?","Fifteen"
"General","Often eaten for breakfast, bacon is actually the flesh of what barnyard animal?","pig"
"General","When not a Birdman, what does Ray Randall do for a living?","Police officer"
"General","Who invented the radio?","Guglielmo Marconi"
"General","The angles inside a square total ······· degrees.","three hundred and sixty"
"General","If you're in the northern hemisphere, Polaris, the North Star, can be found by looking which direction?","north"
"General","Which chemical element was foremerly known as the latin 'Kalium', hence bears the symbol 'K'?","potassium"
"General","A "gyre" is another term for what shape?","Coil"
"General","Who is the only man to have been both chief justice and president of the US?","William Taft"
"General","Who appears on the 10,000 dollar (US) note?","Salmon Chase"
"General","In showjumping, how many points are incurred for knocking down a fence?","four"
"General","After how many years marriage do you celebrate your emerald wedding anniversary","55"
"General","(George Bernard Shaw) Democracy substitutes election by the incompetent many for appointment by the ... ?","corrupt few"
"General","Which planet is known as the red planet ?","Mars"
"General","Snakes are reptiles.  What are frogs?","Amphibians"
"General","The fourth planet from the sun is _______.","Mars"
"General","k Horse, Fantagraphics","DC"
"General","She played Lois Lane in the 1978 film version of "Superman".","Margot Kidder"
"General","He was the second King of Israel.","King David"
"General","Italy's equivalant to the dollar is the ······?","lira"
"General","What is this sign called "&"?","Ampersand"
"General","Bridgeport is the largest city in which state?","Connecticut"
"General","What city do Batman and Robin patrol?","Gotham City"
"General","Name the most venomous spider.","Black Widow"
"General","What company makes Pampers disposable diapers?","Proctor & Gamble"
"General","The study of plants is _________.","Botany"
"General","As loud as ·········.","thunder"
"General","who put up most of the nation's mile markers on the highways, because they delivered by the mile","mailman"
"General","What is th name of the famous hyrogen gas filled airship that crashed in 1936?","Hindenburg"
"General","-isms: The belief in God as a 'divine clockmaker,' originating in the age of Enlightenment.","Deism"
"General","Who runs Andy Capp's favorite pub?","Jack and Jill"
"General","In which country is the importation of bubble gum illegal?","Singapore"
"General","What holiday does Japan celebrate on December 23?","Birthday of the Emperor"
"General","Who was the 1990 Wimbledon women's singles runner-up?","Zina Garrison"
"General","Individual bananas are called ?","fingers"
"General","After a bolus has been digested in the stomach, it is called ______ as it moves into the small intestine.","chyme"
"General","In the song American Pie, who did the word 'jester' refer to?","Bob Dylan"
"General","Who founded the Salvation Army?","William Booth"
"General","(Emerson) Within, I do not find wrinkles and used heart, but unspent ... ?","youth"
"General","What is a the technical name for a heart attack?","myocardial infarct"
"General","What is another name for iron oxide ?","Rust"
"General","Acadia was the original name of which Canadian province?","Nova Scotia"
"General","The wide wall built along the banks of rivers to stop flooding is a(n) ________.","Levee"
"General","An animal is a fish if it has _________.","Gills"
"General","Who starrs as Vicki Vale in the 1989 version of Batman","Kim Basinger"
"General","In what country is the source of the Blue Nile?","Ethiopia"
"General","What does the Binet test measure?","Intelligence"
"General","For what are Allen and Wright most famous?","root beer"
"General","The study of building design is ________.","Architecture"
"General","Brussels is the capital of which country?","Belgium"
"General","What is the chemical symbol for iron?","Fe"
"General","Who recorded the 1957 hit Tammy?","Debbie Reynolds"
"General","what did sally rogers always wear in her hair","a bow"
"General","In what sport is the Heisman trophy awarded?","Football"
"General","Who is Sally Brown's sweet baboo?","Linus Van Pelt"
"General","Hockey: The Detroit ········.","Red Wings"
"General","These beans are the most often used in the production of bean sprouts.","mung beans"
"General","In what year was Uranus discovered?","1781"
"General","What does 'int' stand for in the C programming language?","integer"
"General","What TV series from 1970-1974 starred Susan Dey?","Partridge Family"
"General","In ancient Egypt which animal was considered sacred ?","Cat"
"General","To what country do the Faeroe Islands belong?","Denmark"
"General","... is a name given to a group of ancient philosophers who, from the existing philosophical beliefs, tried to select the doctrines that seemed to them most reasonable, and out of these constructed a new system","Eclecticism"
"General","What event marked the 1954 french grand prix?","The return of Mercedes"
"General","The term Quincentennial represents how many years ?","500"
"General","Basketball: The Denver _________.","Nuggets"
"General","What is the official language of Austria?","german"
"General","The study of the composition of substances and the changes that they undergo is __________.","Chemistry"
"General","This movie starring Marlon Brando won the best picture award in 1972.","The Godfather"
"General","s blind super-hero, Matt Murdock","Daredevil"
"General","Which Canadian province extends farthest north?","Quebec"
"General","This sport allows substitutions without a stoppage in play.","Hockey"
"General","What is the metal part of a lamp surrounding the bulb and supporting the shade called?","harp"
"General","This is the residence of English monarchs.","Buckingham Palace"
